Date,Open,High,Low,Close,Adj Close
2015-07-13,11540.62,11763.51,11515.86,11614.92,6095540
2015-07-14,11614.92,11689.21,11540.62,11614.92,3010940
2015-07-15,11639.68,11639.68,11491.09,11491.09,2644457
2015-07-16,11441.56,11491.09,11342.5,11491.09,2871188
2015-07-17,11466.33,11614.92,11441.56,11491.09,2687382
2015-07-20,11491.09,11491.09,11367.27,11441.56,2099017
2015-07-21,11392.03,11416.8,11243.44,11292.97,3539011
2015-07-22,11292.97,11515.86,11268.21,11515.86,2200042
2015-07-23,11491.09,11862.57,11491.09,11639.68,9741245
2015-07-24,11689.21,11837.81,11689.21,11788.28,5195101
2015-07-27,11862.57,12258.82,11837.81,12134.99,7533599
2015-07-28,12134.99,12134.99,11936.87,11936.87,2561839
2015-07-29,11936.87,12060.69,11813.04,11862.57,4518735
2015-07-30,11862.57,11887.34,11713.98,11713.98,3788843
2015-07-31,11813.04,11837.81,11713.98,11713.98,2185832
2015-08-03,11639.68,11639.68,11491.09,11515.86,4751275
2015-08-04,11614.92,11738.75,11540.62,11639.68,2205417
2015-08-05,11689.21,11738.75,11614.92,11738.75,2180140
2015-08-06,11738.75,11788.28,11590.15,11590.15,3263103
2015-08-07,11639.68,11763.51,11565.39,11713.98,2691662
2015-08-10,11763.51,12011.16,11763.51,12011.16,5413737
2015-08-11,12011.16,12134.99,11887.34,11961.63,3680018
2015-08-12,11887.34,11887.34,11713.98,11788.28,5075845
2015-08-13,11788.28,11788.28,11590.15,11639.68,6715557
2015-08-14,11614.92,11713.98,11515.86,11590.15,3401685
2015-08-17,11590.15,11664.45,11392.03,11441.56,3295492
2015-08-18,11441.56,11565.39,11392.03,11540.62,3035326
2015-08-19,11367.27,11515.86,11268.21,11416.8,3475625
2015-08-20,11441.56,11441.56,11243.44,11268.21,2892889
2015-08-21,11169.14,11193.91,10896.73,11193.91,4926039
2015-08-24,10995.79,11045.32,10475.72,10500.48,8592345
2015-08-25,10401.42,10772.9,10401.42,10624.31,7600212
2015-08-26,10649.07,11020.55,10649.07,10921.49,4040562
2015-08-27,10921.49,11045.32,10896.73,10971.02,2996039
2015-08-28,11045.32,11094.85,10971.02,11070.08,3567729
2015-08-31,11020.55,11094.85,10921.49,10946.26,1549091
2015-09-01,10995.79,10995.79,10871.96,10921.49,1451982
